Manager,NAME,Uni,Frim,degree,major,DB
30000000000000021313,王春,复旦大学,华安基金,硕士研究生,企业管理,1
30000000000000017177,蒋G,复旦大学,华安基金,硕士研究生,世界经济系,1
30000000000000016012,桂征辉,北京大学,博时基金,硕士研究生,计算机,0
30000000000000015975,陈雷,上海社会科学院,博时基金,硕士研究生,西方经济学,1
30000000000000022086,胡涛,美国印第安纳大学,嘉实基金,MBA/EMBA,MBA,1
30243576,杨挺,天津大学,大成基金,硕士研究生,工学,0
30000000000000015009,李林益,北京大学,大成基金,硕士研究生,工学,0
30000000000000015054,李博,清华大学,大成基金,硕士研究生,工学,0
30593893,王磊,吉林大学,大成基金,硕士研究生,经济学,1
30000000000000015052,夏高,清华大学,大成基金,博士研究生,工学,0
30000000000000014864,苏秉毅,清华大学,大成基金,硕士研究生,经济学,1
30243576,杨挺,天津大学,大成基金,硕士研究生,工学,0
30000000000000014752,冉凌浩,英国曼彻斯特大学,大成基金,硕士研究生,金融学,1
30000000000000026898,余海燕,复旦大学,易方达基金,硕士研究生,数量经济学,1
30000000000000019720,徐猛,清华大学,华夏基金,硕士研究生,工学,0
30000000000000022183,孙伟,北京大学,南方基金,硕士研究生,工商管理,1
30000000000000016766,赖中立,北京大学,汇添富基金,硕士研究生,金融学,1
30000000000000018845,过蓓蓓,中国科学技术大学,汇添富基金,博士研究生,金融工程,1
30382125,薛玲,北京航空航天大学,建信基金,博士研究生,计算机,0
30000000000000019720,徐猛,清华大学,华夏基金,硕士研究生,工学,0
30000000000000014864,苏秉毅,清华大学,大成基金,硕士研究生,经济学,1
30000000000000022071,罗文杰,美国南加州大学,南方基金,硕士研究生,"数学金融,计算机科学",1
30000000000000018845,过蓓蓓,中国科学技术大学,汇添富基金,博士研究生,金融工程,1
30000000000000018845,过蓓蓓,中国科学技术大学,汇添富基金,博士研究生,金融工程,1
30000000000000018845,过蓓蓓,中国科学技术大学,汇添富基金,博士研究生,金融工程,1
30000000000000018845,过蓓蓓,中国科学技术大学,汇添富基金,博士研究生,金融工程,1
30000000000000019333,殷瑞飞,厦门大学,国投瑞银基金,博士研究生,统计学,1
30000000000000014864,苏秉毅,清华大学,大成基金,硕士研究生,经济学,1
30000000000000022183,孙伟,北京大学,南方基金,硕士研究生,工商管理,1
30000000000000017320,刘杰,外交学院,广发基金,硕士研究生,经济学,1
30000000000000022071,罗文杰,美国南加州大学,南方基金,硕士研究生,"数学金融,计算机科学",1
30000000000000022080,蒋秋洁,清华大学,南方基金,硕士研究生,光电工程,0
30000000000000022183,孙伟,北京大学,南方基金,硕士研究生,工商管理,1
30380532,李湘杰,国立台湾大学,华夏基金,硕士研究生,管理学,1
30000000000000020296,张城源,中国人民大学,华夏基金,硕士研究生,法学,0
30000000000000021571,伍旋,北京大学,鹏华基金,硕士研究生,工商管理,1
30000000000000021675,袁航,美国威斯康辛大学麦迪逊商学院,鹏华基金,硕士研究生,工商管理,1
30000000000000015010,戴军,浙江大学,大成基金,硕士研究生,金融学,1
30381892,魏庆国,北京大学,大成基金,硕士研究生,经济学,1
30000000000000015009,李林益,北京大学,大成基金,硕士研究生,工学,0
30000000000000014752,冉凌浩,英国曼彻斯特大学,大成基金,硕士研究生,金融学,1
30000000000000014752,冉凌浩,英国曼彻斯特大学,大成基金,硕士研究生,金融学,1
30000000000000019312,赵建,同济大学,国投瑞银基金,博士研究生,管理学,1
30000000000000019333,殷瑞飞,厦门大学,国投瑞银基金,博士研究生,统计学,1
30000000000000019231,綦缚鹏,东北财经大学,国投瑞银基金,硕士研究生,工商管理,1
30381901,吴潇,墨尔本大学,国投瑞银基金,硕士研究生,金融学,1
30000000000000019312,赵建,同济大学,国投瑞银基金,博士研究生,管理学,1
30381901,吴潇,墨尔本大学,国投瑞银基金,硕士研究生,金融学,1
30381901,吴潇,墨尔本大学,国投瑞银基金,硕士研究生,金融学,1
30000000000000023779,何天翔,安徽大学,融通基金,硕士研究生,理学,0
30000000000000023602,邹曦,中国人民银行研究生部,融通基金,硕士研究生,金融学,1
30000000000000023814,蔡志伟,华南师范大学,融通基金,硕士研究生,计算机,0
30000000000000023602,邹曦,中国人民银行研究生部,融通基金,硕士研究生,金融学,1
30000000000000023814,蔡志伟,华南师范大学,融通基金,硕士研究生,计算机,0
30000000000000023814,蔡志伟,华南师范大学,融通基金,硕士研究生,计算机,0
30000000000000023779,何天翔,安徽大学,融通基金,硕士研究生,理学,0
30000000000000023779,何天翔,安徽大学,融通基金,硕士研究生,理学,0
30000000000000022241,吴华,北京大学,宏利基金,硕士研究生,金融学,1
30000000000000022186,张勋,对外经济贸易大学,宏利基金,硕士研究生,管理学,1
30000000000000022201,庄腾飞,北京大学,宏利基金,硕士研究生,经济学,1
30000000000000018239,黄欣,伦敦经济学院,国联安基金,硕士研究生,会计金融,1
30000000000000015927,刘彦春,北京大学,景顺长城基金,硕士研究生,管理学,1
30000000000000026574,刘格菘,中国人民银行研究生部,广发基金,博士研究生,经济学,1
30000000000000017320,刘杰,外交学院,广发基金,硕士研究生,经济学,1
30000000000000020537,梅律吾,上海财经大学,诺安基金,硕士研究生,货币银行学,1
30382113,徐达,美国弗吉尼亚大学,摩根士丹利华鑫基金,本科,"经济学,商业学",1
30000000000000017842,张志强,中国科学技术大学,国海富兰克林基金,硕士研究生,"计算机科学,数学",0
30000000000000016766,赖中立,北京大学,汇添富基金,硕士研究生,金融学,1
30000000000000016297,刘伟琳,中国人民大学,工银瑞信,博士研究生,金融工程,1
30000000000000016297,刘伟琳,中国人民大学,工银瑞信,博士研究生,金融工程,1
30000000000000018150,梁洪昀,清华大学,建信基金,博士研究生,经济学,1
30000000000000018150,梁洪昀,清华大学,建信基金,博士研究生,经济学,1
30000000000000025372,周蔚文,北京大学,中欧基金,硕士研究生,管理科学与工程,1
30000000000000025372,周蔚文,北京大学,中欧基金,硕士研究生,管理科学与工程,1
30000000000000024384,曹名长,上海财经大学,中欧基金,硕士研究生,经济学,1
30379788,蓝小康,中国科学院,中欧基金,博士研究生,高分子化学与物理,0
30000000000000022897,王培,复旦大学,中欧基金,硕士研究生,"高分子化学物理,理学",0
30000000000000016757,王健,内蒙古工业大学,中欧基金,硕士研究生,产业经济学,1
30000000000000024384,曹名长,上海财经大学,中欧基金,硕士研究生,经济学,1
30000000000000024384,曹名长,上海财经大学,中欧基金,硕士研究生,经济学,1
30000000000000017731,赵菲,北京师范大学,中融基金,硕士研究生,概率论与数理统计,0
30000000000000017731,赵菲,北京师范大学,中融基金,硕士研究生,概率论与数理统计,0
30000000000000098002,秦绪文,香港大学,#N/A,硕士研究生,工商管理,1
30000000000000097687,孙伟,北京大学,东证资管,硕士研究生,工商管理,1
30000000000000023475,倪明,厦门大学,银华基金,博士研究生,经济学,1
30000000000000023484,李晓星,剑桥大学,银华基金,硕士研究生,"理学,管理学",0
30000000000000013327,储雯玉,香港大学,长城基金,硕士研究生,"经济学,金融学",1
30000000000000013242,杨建华,西南财经大学,长城基金,博士研究生,经济学,1
30000000000000013376,何以广,清华大学,长城基金,博士研究生,核科学与技术,0
30000000000000013242,杨建华,西南财经大学,长城基金,博士研究生,经济学,1
30000000000000013376,何以广,清华大学,长城基金,博士研究生,核科学与技术,0
30000000000000021794,应帅,北京大学,南方基金,硕士研究生,管理学,1
30000000000000021794,应帅,北京大学,南方基金,硕士研究生,管理学,1
30000000000000022087,骆帅,清华大学,南方基金,硕士研究生,管理科学与工程,1
30000000000000206392,黄春逢,上海交通大学,南方基金,硕士研究生,金融学,1
30000000000000022080,蒋秋洁,清华大学,南方基金,硕士研究生,光电工程,0
30000000000000022188,罗安安,清华大学,南方基金,博士研究生,计算机科学与技术,0
30000000000000022071,罗文杰,美国南加州大学,南方基金,硕士研究生,"数学金融,计算机科学",1
30000000000000022183,孙伟,北京大学,南方基金,硕士研究生,工商管理,1
30000000000000022087,骆帅,清华大学,南方基金,硕士研究生,管理科学与工程,1
30000000000000206392,黄春逢,上海交通大学,南方基金,硕士研究生,金融学,1
30000000000000021872,卢玉珊,清华大学,#N/A,硕士研究生,会计学,1
30000000000000021635,梁浩,中国人民大学,鹏华基金,博士研究生,经济学,1
30377321,蔡丹,中山大学,宝盈基金,硕士研究生,概率论与数理统计,0
30000000000000021237,王大鹏,中山大学,摩根士丹利华鑫基金,博士研究生,金融学,1
30000000000000021237,王大鹏,中山大学,摩根士丹利华鑫基金,博士研究生,金融学,1
30000000000000021326,缪东航,北京大学,摩根士丹利华鑫基金,硕士研究生,金融学,1
30000000000000017746,刘自强,复旦大学,华宝基金,硕士研究生,经济学,1
30000000000000019657,闫旭,复旦大学,华宝基金,硕士研究生,经济学,1
30000000000000018295,刘斌,中国科学院,国联安基金,博士研究生,工学,0
30000000000000018289,魏东,复旦大学,国联安基金,硕士研究生,经济学,1
30000000000000018295,刘斌,中国科学院,国联安基金,博士研究生,工学,0
30000000000000018239,黄欣,伦敦经济学院,国联安基金,硕士研究生,会计金融,1
30000000000000021643,刘苏,北京大学,景顺长城基金,硕士研究生,理学,0
30000000000000015927,刘彦春,北京大学,景顺长城基金,硕士研究生,管理学,1
30000000000000017320,刘杰,外交学院,广发基金,硕士研究生,经济学,1
30000000000000020177,郑煜,中国科学技术大学,华夏基金,硕士研究生,管理科学与工程学,1
30000000000000022626,王博强,英国城市大学,泰信基金,硕士研究生,投资管理,1
30000000000000022604,朱志权,上海财经大学,泰信基金,本科,"经济学,金融证券",1
30000000000000022492,董山青,香港大学,泰信基金,硕士研究生,工商管理,1
30000000000000020537,梅律吾,上海财经大学,诺安基金,硕士研究生,货币银行学,1
30000000000000020537,梅律吾,上海财经大学,诺安基金,硕士研究生,货币银行学,1
30000000000000021311,王品,中国药科大学,兴证全球基金,硕士研究生,理学,0
30000000000000024688,李博,清华大学,上投摩根基金,硕士研究生,工学,0
30000000000000024683,陈思郁,英国伦敦大学,上投摩根基金,硕士研究生,学院经济学,1
30000000000000024688,李博,清华大学,上投摩根基金,硕士研究生,工学,0
30000000000000024396,杜猛,南京大学,上投摩根基金,硕士研究生,经济学,1
30000000000000018427,郭晨,四川大学,上投摩根基金,硕士研究生,技术经济及管理,1
30000000000000024932,邱红丽,英国纽卡斯尔大学,中海基金,硕士研究生,跨文化交流与国际管理,0
30000000000000024937,姚晨曦,复旦大学,中海基金,硕士研究生,金融学,1
30000000000000024932,邱红丽,英国纽卡斯尔大学,中海基金,硕士研究生,跨文化交流与国际管理,0
30000000000000024937,姚晨曦,复旦大学,中海基金,硕士研究生,金融学,1
30000000000000015285,王然,北京交通大学,东方基金,硕士研究生,产业经济学,1
30000000000000015320,李瑞,中国人民大学,东方基金,硕士研究生,金融学,1
30000000000000015285,王然,北京交通大学,东方基金,硕士研究生,产业经济学,1
30000000000000018442,陈启明,复旦大学,华富基金,硕士研究生,会计学,1
30000000000000018375,高靖瑜,复旦大学,华富基金,硕士研究生,金融学,1
30000000000000018442,陈启明,复旦大学,华富基金,硕士研究生,会计学,1
30000000000000017892,徐荔蓉,中央财经大学,国海富兰克林基金,硕士研究生,经济学,1
30000000000000017812,赵晓东,香港大学,国海富兰克林基金,MBA/EMBA,MBA,1
30000000000000017892,徐荔蓉,中央财经大学,国海富兰克林基金,硕士研究生,经济学,1
30000000000000017862,刘晓,上海财经大学,国海富兰克林基金,硕士研究生,金融学,1
30000000000000018039,杜飞,上海财经大学,国海富兰克林基金,硕士研究生,经济学,1
30000000000000017842,张志强,中国科学技术大学,国海富兰克林基金,硕士研究生,"计算机科学,数学",0
30000000000000017812,赵晓东,香港大学,国海富兰克林基金,MBA/EMBA,MBA,1
30000000000000017892,徐荔蓉,中央财经大学,国海富兰克林基金,硕士研究生,经济学,1
30382111,徐成,朴茨茅斯大学,国海富兰克林基金,硕士研究生,金融决策分析,1
30000000000000018975,吕慧建,新加坡国立大学,华泰柏瑞基金,硕士研究生,"MBA,经济学",1
30381649,田汉卿,美国加州大学伯克利分校哈斯商学院,华泰柏瑞基金,MBA/EMBA,MBA,1
30000000000000016654,吴振翔,中国科学技术大学,汇添富基金,博士研究生,管理学,1
30000000000000016682,顾耀强,清华大学,汇添富基金,硕士研究生,管理学,1
30000000000000016888,马翔,清华大学,汇添富基金,硕士研究生,工学,0
30000000000000016766,赖中立,北京大学,汇添富基金,硕士研究生,金融学,1
30000000000000018845,过蓓蓓,中国科学技术大学,汇添富基金,博士研究生,金融工程,1
30000000000000016161,何肖颉,财政部财政科研所研究生部,工银瑞信,硕士研究生,经济学,1
30380228,林念,北京大学,工银瑞信,博士研究生,宏观经济学,1
30000000000000016030,王筱苓,清华大学,工银瑞信,硕士研究生,工商管理,1
30000000000000016297,刘伟琳,中国人民大学,工银瑞信,博士研究生,金融工程,1
30000000000000016030,王筱苓,清华大学,工银瑞信,硕士研究生,工商管理,1
30000000000000018117,宫雪,中国科学院,国金基金,博士研究生,管理科学与工程,1
30000000000000016654,吴振翔,中国科学技术大学,汇添富基金,博士研究生,管理学,1
30000000000000016654,吴振翔,中国科学技术大学,汇添富基金,博士研究生,管理学,1
30000000000000018845,过蓓蓓,中国科学技术大学,汇添富基金,博士研究生,金融工程,1
30000000000000018845,过蓓蓓,中国科学技术大学,汇添富基金,博士研究生,金融工程,1
30000000000000016766,赖中立,北京大学,汇添富基金,硕士研究生,金融学,1
30000000000000016654,吴振翔,中国科学技术大学,汇添富基金,博士研究生,管理学,1
30000000000000023475,倪明,厦门大学,银华基金,博士研究生,经济学,1
30000000000000097575,王延飞,复旦大学,东证资管,硕士研究生,企业管理,1
30000000000000022071,罗文杰,美国南加州大学,南方基金,硕士研究生,"数学金融,计算机科学",1
30000000000000016766,赖中立,北京大学,汇添富基金,硕士研究生,金融学,1
30381531,盛丰衍,复旦大学,西部利得基金,硕士研究生,计算机应用技术专业,0
30000000000000018117,宫雪,中国科学院,国金基金,博士研究生,管理科学与工程,1
30382125,薛玲,北京航空航天大学,建信基金,博士研究生,计算机,0
30000000000000018239,黄欣,伦敦经济学院,国联安基金,硕士研究生,会计金融,1
30000000000000026898,余海燕,复旦大学,易方达基金,硕士研究生,数量经济学,1
30000000000000019998,赵宗庭,对外经济贸易大学,华夏基金,硕士研究生,经济学,1
30000000000000017320,刘杰,外交学院,广发基金,硕士研究生,经济学,1
30000000000000022071,罗文杰,美国南加州大学,南方基金,硕士研究生,"数学金融,计算机科学",1
30000000000000017320,刘杰,外交学院,广发基金,硕士研究生,经济学,1
30000000000000026898,余海燕,复旦大学,易方达基金,硕士研究生,数量经济学,1
30382125,薛玲,北京航空航天大学,建信基金,博士研究生,计算机,0
30000000000000016654,吴振翔,中国科学技术大学,汇添富基金,博士研究生,管理学,1
30000000000000026898,余海燕,复旦大学,易方达基金,硕士研究生,数量经济学,1
30000000000000026898,余海燕,复旦大学,易方达基金,硕士研究生,数量经济学,1
30381494,苏卿云,伦敦商学院,华安基金,硕士研究生,"会计学,金融学",1
30000000000000022071,罗文杰,美国南加州大学,南方基金,硕士研究生,"数学金融,计算机科学",1
30000000000000022183,孙伟,北京大学,南方基金,硕士研究生,工商管理,1
30000000000000020498,荣膺,北京大学,华夏基金,硕士研究生,会计学,1
30000000000000022183,孙伟,北京大学,南方基金,硕士研究生,工商管理,1
30000000000000022183,孙伟,北京大学,南方基金,硕士研究生,工商管理,1
30000000000000026898,余海燕,复旦大学,易方达基金,硕士研究生,数量经济学,1
30000000000000022071,罗文杰,美国南加州大学,南方基金,硕士研究生,"数学金融,计算机科学",1
30000000000000023475,倪明,厦门大学,银华基金,博士研究生,经济学,1
30000000000000016575,王栩,同济大学,汇添富基金,硕士研究生,管理学,1
30593893,王磊,吉林大学,大成基金,硕士研究生,经济学,1
30000000000000020183,彭海伟,中国科学院,华夏基金,硕士研究生,管理科学与工程学,1
30000000000000016772,劳杰男,复旦大学,汇添富基金,硕士研究生,经济学,1
30382511,赵强,南开大学,新华基金,硕士研究生,管理学,1
30000000000000023108,吴勇,上海交通大学,浦银安盛基金,硕士研究生,工商管理,1
30000000000000023108,吴勇,上海交通大学,浦银安盛基金,硕士研究生,工商管理,1
30000000000000023183,褚艳辉,南京理工大学,浦银安盛基金,硕士研究生,经济学,1
30000000000000023183,褚艳辉,南京理工大学,浦银安盛基金,硕士研究生,经济学,1
30000000000000014864,苏秉毅,清华大学,大成基金,硕士研究生,经济学,1
30000000000000018990,王崇,北京大学,交银施罗德,博士研究生,金融学,1
30000000000000015545,王少成,复旦大学,交银施罗德,硕士研究生,物理化学,0
30377487,陈俊华,上海交通大学,交银施罗德,硕士研究生,金融学,1
30264047,周中,复旦大学,交银施罗德,硕士研究生,金融学,1
30000000000000019209,沈楠,复旦大学,交银施罗德,硕士研究生,经济学,1
30378692,韩威俊,上海财经大学,交银施罗德,硕士研究生,金融学,1
30382909,郭斐,复旦大学,交银施罗德,本科,经济学,1
30000000000000018990,王崇,北京大学,交银施罗德,博士研究生,金融学,1
30000000000000019209,沈楠,复旦大学,交银施罗德,硕士研究生,经济学,1
30000000000000018299,芮晨,内蒙古科技大学,交银施罗德,本科,工学,0
30000000000000019078,杨浩,北京邮电大学,交银施罗德,硕士研究生,通信与信息系统,0
30377487,陈俊华,上海交通大学,交银施罗德,硕士研究生,金融学,1
30000000000000019751,阳琨,北京大学,华夏基金,硕士研究生,MBA,1
30000000000000018234,陶灿,北京大学,建信基金,硕士研究生,金融学,1
30382125,薛玲,北京航空航天大学,建信基金,博士研究生,计算机,0
30382125,薛玲,北京航空航天大学,建信基金,博士研究生,计算机,0
30000000000000018150,梁洪昀,清华大学,建信基金,博士研究生,经济学,1
30000000000000021040,郝旭东,上海交通大学,诺德基金,博士研究生,金融学,1
30000000000000198292,顾钰,上海大学,诺德基金,硕士研究生,金融学,1
30000000000000021083,杨霞辉,同济大学,诺德基金,硕士研究生,管理学,1
30000000000000020998,朱红,大连理工大学,诺德基金,硕士研究生,工商管理,1
30000000000000025141,曾国富,上海财经大学,信达澳亚基金,硕士研究生,管理学,1
30000000000000101228,闵杭,上海交通大学,金元顺安,本科,工学,0
30000000000000101228,闵杭,上海交通大学,金元顺安,本科,工学,0
30000000000000020164,宋永安,复旦大学,农银汇理基金,硕士研究生,数学,0
30000000000000020164,宋永安,复旦大学,农银汇理基金,硕士研究生,数学,0
30000000000000020164,宋永安,复旦大学,农银汇理基金,硕士研究生,数学,0
30380226,林静,上海财经大学,西部利得基金,硕士研究生,金融学,1
30380226,林静,上海财经大学,西部利得基金,硕士研究生,金融学,1
30380226,林静,上海财经大学,西部利得基金,硕士研究生,金融学,1
30249178,柳世庆,北京大学,民生加银基金,硕士研究生,金融学,1
30391589,金耀,上海财经大学,民生加银基金,硕士研究生,金融工程,1
30381526,神爱前,厦门大学,平安基金,硕士研究生,财政学,1
30380099,金梓才,上海交通大学,财通基金,硕士研究生,微电子学,0
30590086,Robert Lloyd,美国蒙大拿大学,#N/A,本科,文学,0
